precision,bit_size,starting_hash_size,downgraded_hash_size,hasher,composite_hash,average_number_of_duplicates,absolute_average_number_of_duplicates,total_number_of_hashes
14,6,32,24,WyHash,SwitchHash,0.0001837227634504827,0.56458,3073
14,6,32,24,XxHash64,SwitchHash,0.00018464696084512965,0.56742,3073
14,6,32,24,AHasher,SwitchHash,0.0001885258874335611,0.57934,3073
6,5,24,16,WyHash,SwitchHash,0.00018857142857142857,0.00264,14
12,5,32,24,WyHash,CurrentHash,0.0002016536661466459,0.12926,641
12,5,32,24,AHasher,CurrentHash,0.0002017474161466459,0.12932,641
6,5,24,16,XxHash64,SwitchHash,0.00020428571428571428,0.00286,14
12,5,32,24,XxHash64,CurrentHash,0.00020789401326053045,0.13326,641
6,6,24,16,AHasher,SwitchHash,0.00021411764705882354,0.00364,17
6,6,24,16,XxHash64,SwitchHash,0.00022713235294117645,0.00386,17
6,6,24,16,WyHash,SwitchHash,0.00022823529411764704,0.00388,17
11,6,32,24,AHasher,CurrentHash,0.00023314339826839827,0.08976,385
11,6,32,24,WyHash,CurrentHash,0.0002409362824675325,0.09276,385
11,6,32,24,XxHash64,CurrentHash,0.00024358455086580087,0.09378,385
4,5,24,16,AHasher,CurrentHash,0.0002666666666666666,0.0016,6
4,5,24,16,XxHash64,CurrentHash,0.0002833333333333333,0.0017,6
4,5,24,16,WyHash,CurrentHash,0.0002933333333333333,0.00176,6
15,4,32,24,WyHash,SwitchHash,0.0003073127119023828,1.25906,4097
15,4,32,24,AHasher,SwitchHash,0.0003079082636685379,1.2615,4097
15,4,32,24,XxHash64,SwitchHash,0.00030836716104199716,1.26338,4097
15,5,32,24,WyHash,SwitchHash,0.0003176997054103202,1.62694,5121
15,5,32,24,AHasher,SwitchHash,0.00031857064507664516,1.6314,5121
15,5,32,24,XxHash64,SwitchHash,0.0003203280998279145,1.6404,5121
14,4,32,24,AHasher,CurrentHash,0.00032068337451195703,0.65708,2049
14,4,32,24,XxHash64,CurrentHash,0.00032145444424109323,0.65866,2049
14,4,32,24,WyHash,CurrentHash,0.00032673507370211086,0.66948,2049
6,4,24,16,AHasher,CurrentHash,0.0003363636363636364,0.0037,11
6,4,24,16,XxHash64,CurrentHash,0.0003381818181818182,0.00372,11
6,4,24,16,WyHash,CurrentHash,0.00034181818181818185,0.00376,11
7,4,24,16,AHasher,SwitchHash,0.0003536363636363636,0.00778,22
7,4,24,16,XxHash64,SwitchHash,0.00035913419913419914,0.0079,22
15,6,32,24,WyHash,SwitchHash,0.0003643938563703553,2.2392,6145
15,6,32,24,AHasher,SwitchHash,0.0003652530941695484,2.24448,6145
15,6,32,24,XxHash64,SwitchHash,0.0003660407332773935,2.24932,6145
7,4,24,16,WyHash,SwitchHash,0.0003754978354978355,0.00826,22
7,5,24,16,AHasher,SwitchHash,0.0003778347578347578,0.0102,27
7,5,24,16,XxHash64,SwitchHash,0.00038370370370370365,0.01036,27
7,5,24,16,WyHash,SwitchHash,0.00039116809116809115,0.01056,27
13,5,32,24,WyHash,CurrentHash,0.0004039659689695551,0.51748,1281
13,5,32,24,AHasher,CurrentHash,0.0004054179596018736,0.51934,1281
13,5,32,24,XxHash64,CurrentHash,0.00040629238631928184,0.52046,1281
7,6,24,16,AHasher,SwitchHash,0.0004454545454545455,0.0147,33
7,6,24,16,XxHash64,SwitchHash,0.0004521212121212122,0.01492,33
7,6,24,16,WyHash,SwitchHash,0.0004648674242424242,0.01534,33
12,6,32,24,WyHash,CurrentHash,0.0004818991452644127,0.37058,769
12,6,32,24,XxHash64,CurrentHash,0.00048803722366710017,0.3753,769
12,6,32,24,AHasher,CurrentHash,0.0004891032726484612,0.37612,769
5,5,24,16,AHasher,CurrentHash,0.0004911111111111111,0.00442,9
5,5,24,16,XxHash64,CurrentHash,0.0005111111111111112,0.0046,9
16,4,32,24,WyHash,SwitchHash,0.0005363554894302873,4.39436,8193
16,4,32,24,XxHash64,SwitchHash,0.0005367241119753524,4.39738,8193
16,4,32,24,AHasher,SwitchHash,0.0005373685532333243,4.40266,8193
4,6,24,16,XxHash64,CurrentHash,0.0005433333333333333,0.00326,6
5,5,24,16,WyHash,CurrentHash,0.0005491666666666667,0.00494,9
4,6,24,16,WyHash,CurrentHash,0.0005866666666666665,0.00352,6
4,6,24,16,AHasher,CurrentHash,0.0005933333333333333,0.00356,6
16,5,32,24,WyHash,SwitchHash,0.0006132858762038009,6.28066,10241
16,5,32,24,AHasher,SwitchHash,0.0006138776233018626,6.28672,10241
16,5,32,24,XxHash64,SwitchHash,0.0006146431628609877,6.29456,10241
15,4,32,24,AHasher,CurrentHash,0.0006452625694582164,2.64364,4097
15,4,32,24,XxHash64,CurrentHash,0.0006490360551070143,2.6591,4097
8,4,24,16,WyHash,SwitchHash,0.0006502436323366556,0.02796,43
15,4,32,24,WyHash,CurrentHash,0.0006504029279713052,2.6647,4097
8,4,24,16,XxHash64,SwitchHash,0.0006609413067552604,0.02842,43
8,4,24,16,AHasher,SwitchHash,0.0006986378737541528,0.03004,43
16,6,32,24,WyHash,SwitchHash,0.0007235561090213217,8.89178,12289
16,6,32,24,AHasher,SwitchHash,0.0007247734550885616,8.90674,12289
16,6,32,24,XxHash64,SwitchHash,0.0007255985782190882,8.91688,12289
7,4,24,16,AHasher,CurrentHash,0.000769090909090909,0.01692,22
8,5,24,16,WyHash,SwitchHash,0.0007751921733053809,0.04186,54
8,5,24,16,XxHash64,SwitchHash,0.0007800139762403912,0.04212,54
7,4,24,16,XxHash64,CurrentHash,0.0007818181818181817,0.0172,22
7,4,24,16,WyHash,CurrentHash,0.000800995670995671,0.01762,22
14,5,32,24,XxHash64,CurrentHash,0.000807075882833854,2.06692,2561
14,5,32,24,AHasher,CurrentHash,0.0008085440989847716,2.07068,2561
14,5,32,24,WyHash,CurrentHash,0.0008129875780944943,2.08206,2561
8,5,24,16,AHasher,SwitchHash,0.0008222361984626136,0.0444,54
