precision,bit_size,hash_size,uniform_rice_coefficient,geometric_rice_coefficient,rate,mean_compressed_size,number_of_hashes,number_of_hashes_with_code,extra_hashes
16,4,25,10,0,0.4508,14.3518,8192,18172,9980
16,4,26,11,0,0.4867,15.4923,8192,16832,8640
16,4,27,13,0,0.5223,16.6247,8192,15684,7492
16,4,28,14,0,0.5558,17.6873,8192,14740,6548
16,4,29,15,0,0.5893,18.7505,8192,13902,5710
16,4,30,16,0,0.6227,19.8138,8192,13155,4963
16,4,31,17,0,0.6563,20.8777,8192,12483,4291
16,4,32,18,0,0.6898,21.9416,8192,11876,3684
16,5,21,0,0,0.1245,3.9682,10240,82264,72024
16,5,22,7,0,0.3338,10.6408,10240,30675,20435
16,5,23,8,0,0.3686,11.7479,10240,27781,17541
16,5,24,9,0,0.4034,12.8549,10240,25386,15146
16,5,25,10,0,0.4381,13.9623,10240,23371,13131
16,5,26,11,0,0.4730,15.0698,10240,21651,11411
16,5,27,12,0,0.5078,16.1780,10240,20166,9926
16,5,28,13,0,0.5426,17.2862,10240,18871,8631
16,5,29,14,0,0.5775,18.3950,10240,17732,7492
16,5,30,15,0,0.6124,19.5042,10240,16722,6482
16,5,31,16,0,0.6472,20.6134,10240,15821,5581
16,5,32,18,0,0.6804,21.6656,10240,15051,4811
16,6,22,0,0,0.1213,3.8703,12288,101269,88981
16,6,23,7,0,0.3591,11.4544,12288,34215,21927
16,6,24,9,0,0.3961,12.6334,12288,31019,18731
16,6,25,10,0,0.4302,13.7193,12288,28562,16274
16,6,26,11,0,0.4643,14.8055,12288,26464,14176
16,6,27,12,0,0.4985,15.8924,12288,24652,12364
16,6,28,13,0,0.5326,16.9796,12288,23072,10784
16,6,29,14,0,0.5668,18.0675,12288,21681,9393
16,6,30,15,0,0.6009,19.1557,12288,20448,8160
16,6,31,16,0,0.6351,20.2442,12288,19347,7059
16,6,32,17,0,0.6694,21.3330,12288,18358,6070
17,4,21,0,0,0.1306,4.1689,16384,125444,109060
17,4,22,6,0,0.3065,9.7841,16384,53447,37063
17,4,23,7,0,0.3423,10.9255,16384,47860,31476
17,4,24,8,0,0.3781,12.0661,16384,43333,26949
